Word;DocNumber;Weight
AB;1178;7.122866658599083
ABANDON;90;7.122866658599083
ABANDONED;550;7.122866658599083
ABDOMEN;1063;7.122866658599083
ABDOMENS;37;7.122866658599083
ABDOMINAL;37;8.604948005943855
ABDOMINAL;95;8.604948005943855
ABDOMINAL;149;8.604948005943855
ABDOMINAL;182;4.302474002971928
ABDOMINAL;202;12.907422008915784
ABDOMINAL;240;4.302474002971928
ABDOMINAL;314;4.302474002971928
ABDOMINAL;364;4.302474002971928
ABDOMINAL;475;12.907422008915784
ABDOMINAL;478;4.302474002971928
ABDOMINAL;594;4.302474002971928
ABDOMINAL;643;4.302474002971928
ABDOMINAL;659;4.302474002971928
ABDOMINAL;727;4.302474002971928
ABDOMINAL;801;4.302474002971928
ABDOMINAL;902;8.604948005943855
ABDOMINAL;1063;4.302474002971928
ABERRANT;114;6.430525604644662
ABERRANT;410;6.430525604644662
ABERRATIONS;117;6.430525604644662
ABERRATIONS;360;6.430525604644662
ABETALIPOPROTINAEMIA;1088;7.122866658599083
ABH;167;7.122866658599083
ABILITIES;145;6.430525604644662
ABILITIES;448;6.430525604644662
ABILITY;18;3.8122026701459353
ABILITY;20;3.8122026701459353
ABILITY;72;3.8122026701459353
ABILITY;104;3.8122026701459353
ABILITY;126;3.8122026701459353
ABILITY;164;3.8122026701459353
ABILITY;180;3.8122026701459353
ABILITY;245;3.8122026701459353
ABILITY;265;3.8122026701459353
ABILITY;290;3.8122026701459353
ABILITY;306;7.624405340291871
ABILITY;397;3.8122026701459353
ABILITY;449;3.8122026701459353
ABILITY;523;7.624405340291871
ABILITY;539;3.8122026701459353
ABILITY;552;3.8122026701459353
ABILITY;596;3.8122026701459353
ABILITY;636;3.8122026701459353
ABILITY;748;3.8122026701459353
ABILITY;765;3.8122026701459353
ABILITY;828;3.8122026701459353
ABILITY;892;3.8122026701459353
ABILITY;911;3.8122026701459353
ABILITY;1045;3.8122026701459353
ABILITY;1062;3.8122026701459353
ABILITY;1102;3.8122026701459353
ABILITY;1167;3.8122026701459353
ABILITY;1200;3.8122026701459353
ABLE;135;4.4942386252808095
ABLE;137;4.4942386252808095
ABLE;277;4.4942386252808095
ABLE;330;4.4942386252808095
ABLE;397;4.4942386252808095
ABLE;613;4.4942386252808095
ABLE;642;4.4942386252808095
ABLE;702;4.4942386252808095
ABLE;748;4.4942386252808095
ABLE;841;4.4942386252808095
ABLE;982;4.4942386252808095
ABLE;1148;4.4942386252808095
ABLE;1163;4.4942386252808095
ABLE;1218;4.4942386252808095
ABNORMAL;24;2.642060334875028
ABNORMAL;32;2.642060334875028
ABNORMAL;59;2.642060334875028
ABNORMAL;105;2.642060334875028
ABNORMAL;117;2.642060334875028
ABNORMAL;135;2.642060334875028
ABNORMAL;140;2.642060334875028
ABNORMAL;144;2.642060334875028
ABNORMAL;150;2.642060334875028
ABNORMAL;173;2.642060334875028
ABNORMAL;174;2.642060334875028
ABNORMAL;192;2.642060334875028
ABNORMAL;204;2.642060334875028
ABNORMAL;206;2.642060334875028
ABNORMAL;210;2.642060334875028
ABNORMAL;211;2.642060334875028
ABNORMAL;215;2.642060334875028
ABNORMAL;230;2.642060334875028
ABNORMAL;263;5.284120669750056
ABNORMAL;268;2.642060334875028
ABNORMAL;276;2.642060334875028
ABNORMAL;297;2.642060334875028
ABNORMAL;300;5.284120669750056
ABNORMAL;312;2.642060334875028
ABNORMAL;325;2.642060334875028
ABNORMAL;357;2.642060334875028
ABNORMAL;364;5.284120669750056
ABNORMAL;368;2.642060334875028
ABNORMAL;388;2.642060334875028
ABNORMAL;398;2.642060334875028
ABNORMAL;414;5.284120669750056
ABNORMAL;416;2.642060334875028
ABNORMAL;430;2.642060334875028
ABNORMAL;449;2.642060334875028
ABNORMAL;490;2.642060334875028
ABNORMAL;496;2.642060334875028
ABNORMAL;501;2.642060334875028
ABNORMAL;504;2.642060334875028
ABNORMAL;519;2.642060334875028
ABNORMAL;524;2.642060334875028
ABNORMAL;529;2.642060334875028
ABNORMAL;539;2.642060334875028
ABNORMAL;563;2.642060334875028
ABNORMAL;571;2.642060334875028
ABNORMAL;594;7.926181004625084
ABNORMAL;608;5.284120669750056
ABNORMAL;615;2.642060334875028
ABNORMAL;617;2.642060334875028
ABNORMAL;621;2.642060334875028
ABNORMAL;622;2.642060334875028
ABNORMAL;623;2.642060334875028
ABNORMAL;667;2.642060334875028
ABNORMAL;676;2.642060334875028
ABNORMAL;691;2.642060334875028
ABNORMAL;693;2.642060334875028
ABNORMAL;697;2.642060334875028
ABNORMAL;715;2.642060334875028
ABNORMAL;745;7.926181004625084
ABNORMAL;754;2.642060334875028
ABNORMAL;781;2.642060334875028
ABNORMAL;798;2.642060334875028
ABNORMAL;811;5.284120669750056
